fishid;treat;time;ph;tco2_cameron;na;cl;osm;hemat;aco2;pco2;hco3;;;;
A1;A;0;NA;1,86;134,87;NA;NA;29;0,038605713;NA;NA;;;;
A1;A;3;7,35;7,31;132,3;115,33;260;26,5;0,038605713;11,92;6,85;;;;
A1;A;6;7,37;10,44;121,92;111,33;NA;28,5;0,038605713;16,33;9,81;;;;
A1;A;24;7,46;13,97;129,1;104,33;257,33;29,5;0,038605713;18,05;13,27;;;;
A1;A;48;7,53;17,16;131,16;105,33;248,5;24;0,038605713;19,09;16,42;;;;
A1;A;72;7,56;15,66;114;98;248,33;18;0,038605713;16,34;15,03;;;;
A2;A;0;7,67;4,67;139,97;115;261;17,5;0,038605713;3,93;4,52;;;;
A2;A;3;7,19;8,44;126,54;108;264;37;0,038605713;19,19;7,7;;;;
A2;A;6;7,22;9,72;114,74;114,67;274,5;36;0,038605713;20,78;8,92;;;;
A2;A;24;7,42;14,08;123,49;105;259,67;28;0,038605713;19,81;13,32;;;;
A2;A;48;7,58;16,62;121,18;101;254,5;23;0,038605713;16,97;15,96;;;;
A2;A;72;7,56;14,49;123,84;101,33;253,33;16,5;0,038605713;15,12;13,91;;;;
A3;A;0;7,75;4,22;127,13;115;250,5;19;0,038605713;2,98;4,1;;;;
A3;A;3;7,21;12,72;125,45;110,67;259,5;31,5;0,038605713;27,75;11,65;;;;
A3;A;6;7,25;11,42;128,12;112,33;259,67;30;0,038605713;22,94;10,53;;;;
A3;A;24;7,43;21,95;124,77;103;257;19;0,038605713;30,24;20,78;;;;
A3;A;48;7,51;26,19;121,62;89,33;242,67;15;0,038605713;30,42;25,02;;;;
A3;A;72;7,60;31,44;117,69;92,67;243;15;0,038605713;30,75;30,25;;;;
A4;A;0;7,77;5,69;121,48;119,67;262;21;0,038605713;3,85;5,54;;;;
A4;A;3;7,22;12,06;140,02;117;275;32,5;0,038605713;25,78;11,06;;;;
A4;A;6;7,31;12,27;138,49;118,5;269;27;0,038605713;21,76;11,43;;;;
A4;A;24;7,43;12,82;135,2;110,67;270;19,5;0,038605713;17,66;12,14;;;;
A4;A;48;7,46;14,42;132,74;109,67;259,5;21;0,038605713;18,64;13,7;;;;
A4;A;72;7,51;16,28;129,34;102,33;253,5;23;0,038605713;18,91;15,55;;;;
A5;A;0;7,72;5,62;128,8;115,33;253;18,5;0,038605713;4,24;5,46;;;;
A5;A;3;7,29;12,4;115,38;115,67;271;23;0,038605713;22,93;11,51;;;;
A5;A;6;7,33;12,59;129,84;108;254;26,5;0,038605713;21,41;11,76;;;;
A5;A;24;7,50;16,29;126,15;102,33;248,33;22;0,038605713;19,33;15,54;;;;
A5;A;48;7,51;17,13;109,82;98,33;245;20;0,038605713;19,9;16,36;;;;
A5;A;72;NA;NA;NA;NA;NA;NA;0,038605713;NA;NA;;;;
A6;A;0;7,77;6,07;138,64;112,33;254,67;30,5;0,038605713;4,1;5,91;;;;
A6;A;3;7,20;13,56;NA;107;267;40,5;0,038605713;30,2;12,39;;;;
A6;A;6;7,30;7,21;NA;NA;NA;38;0,038605713;13,06;6,71;;;;
A6;A;24;7,44;15,43;132,54;104;266,5;27;0,038605713;20,81;14,63;;;;
A6;A;48;7,42;17,98;123,98;95;258,67;23;0,038605713;25,3;17;;;;
A6;A;72;7,43;17,02;117,69;95,67;244,67;19;0,038605713;23,44;16,11;;;;
A7;A;0;7,83;5,28;131,48;113,33;253,5;21,5;0,038605713;3,13;5,16;;;;
A7;A;3;7,35;9,35;136,77;111;253,5;33;0,038605713;15,25;8,76;;;;
A7;A;6;7,42;11,76;131,7;107,67;267,5;36;0,038605713;16,55;11,12;;;;
A7;A;24;7,48;13,84;127,35;105;267,33;27,5;0,038605713;17,14;13,18;;;;
A7;A;48;7,52;16,32;126,55;102;253;25,5;0,038605713;18,55;15,6;;;;
A7;A;72;7,53;15,93;120,55;101;254;25;0,038605713;17,72;15,25;;;;
A8;A;0;7,79;3,94;130,71;111;255,67;21;0,038605713;2,55;3,84;;;;
A8;A;3;7,30;10,83;136,09;112,33;267;28;0,038605713;19,61;10,07;;;;
A8;A;6;7,36;10,19;128,8;110,33;262,5;29,5;0,038605713;16,27;9,56;;;;
A8;A;24;7,49;18,72;127,83;103,33;257;25;0,038605713;22,69;17,84;;;;
A8;A;48;7,55;18,1;124,99;104,67;255,33;18;0,038605713;19,29;17,36;;;;
A8;A;72;7,53;19,52;123,17;99,67;253,5;21;0,038605713;21,72;18,68;;;;
A9;A;0;7,81;3,66;136,81;113;258;30;0,038605713;2,27;3,57;;;;
A9;A;3;7,27;10,12;138,45;113;265;41,5;0,038605713;19,51;9,37;;;;
A9;A;6;7,32;9,99;135,53;114;270;40;0,038605713;17,35;9,32;;;;
A9;A;24;7,42;11,65;132,19;109,67;264,5;36;0,038605713;16,39;11,02;;;;
A9;A;48;7,47;16,95;132,21;102,33;254,5;30;0,038605713;21,44;16,12;;;;
A9;A;72;7,47;16,51;135,42;103,33;260;25;0,038605713;20,89;15,7;;;;
B1;B;0;7,78;7,62;NA;113,6666667;256,6666667;25,5;0,038605713;5,04;7,43;;;;
B1;B;3;7,24;10,79;132,81;106;257;30;0,038605713;22,13;9,94;;;;
B1;B;6;7,39;11,18;128,7;106,3333333;258;27;0,038605713;16,76;10,53;;;;
B1;B;24;7,51;17,56;132,5;97;255,5;21,5;0,038605713;20,39;16,77;;;;
B1;B;48;7,58;20,8;125,47;91;242;21,5;0,038605713;21,24;19,98;;;;
B1;B;72;7,69;22,92;120,71;82;242;21;0,038605713;18,45;22,21;;;;
B2;B;0;7,87;8,85;125,55;102,6666667;246,3333333;17;0,038605713;4,81;8,66;;;;
B2;B;3;7,34;11,75;127,4;107,6666667;251,5;21,5;0,038605713;19,57;10,99;;;;
B2;B;6;7,37;12,78;128,01;106,3333333;250,5;17;0,038605713;19,99;12,01;;;;
B2;B;24;7,64;20,58;129,45;94,33333333;251,6666667;18;0,038605713;18,46;19,87;;;;
B2;B;48;7,62;20,37;118,87;94;254,3333333;16,5;0,038605713;19,08;19,63;;;;
B2;B;72;7,68;28,51;140,41;99;258;15;0,038605713;23,45;27,6;;;;
B3;B;0;7,83;6,31;123,26;100,3333333;254,6666667;20;0,038605713;3,74;6,17;;;;
B3;B;3;7,43;10,84;122,59;104,3333333;250,3333333;17,5;0,038605713;14,93;10,26;;;;
B3;B;6;7,51;14,32;130,34;101,3333333;251,6666667;15;0,038605713;16,63;13,68;;;;
B3;B;24;7,59;21,17;124,36;94,33333333;248;15;0,038605713;21,15;20,35;;;;
B3;B;48;7,63;24,08;132,86;96;255;8,5;0,038605713;22,07;23,23;;;;
B3;B;72;7,65;19,26;113,76;78,2;214,5;7,5;0,038605713;16,9;18,61;;;;
B4;B;0;7,65;1,91;128,13;113;256,33;25,5;0,038605713;1,68;1,85;;;;
B4;B;3;7,29;8,11;127,08;110,33;253;29;0,038605713;15;7,53;;;;
B4;B;6;7,29;10,92;132,72;106,67;254,5;25,5;0,038605713;20,19;10,14;;;;
B4;B;24;7,44;20,27;135,86;102,33;247;20,5;0,038605713;27,33;19,21;;;;
B4;B;48;7,62;19,12;126,26;93;241,5;15;0,038605713;17,91;18,43;;;;
B4;B;72;7,62;17,62;130,65;95;241,67;19;0,038605713;16,5;16,98;;;;
B5;B;0;7,83;5,31;138,1;106;256;23,5;0,038605713;3,15;5,19;;;;
B5;B;3;7,34;9,31;136,07;109,33;261;34;0,038605713;15,51;8,71;;;;
B5;B;6;7,32;14,91;136,49;109;256;33;0,038605713;25,9;13,91;;;;
B5;B;24;7,48;16,33;138,55;104,33;272,5;27;0,038605713;20,22;15,55;;;;
B5;B;48;7,65;18,56;137,18;98,33;252,5;20;0,038605713;16,29;17,93;;;;
B5;B;72;NA;NA;NA;NA;NA;NA;0,038605713;NA;NA;;;;
